country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","21-02-2025 14:00:00",25.42742023,86.13886079,NH3,11,17,12
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","21-02-2025 14:00:00",25.42742023,86.13886079,SO2,3,124,47
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","21-02-2025 14:00:00",25.42742023,86.13886079,OZONE,1,50,11
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-02-2025 14:00:00",26.80365,84.51954,PM10,96,248,171
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-02-2025 14:00:00",26.80365,84.51954,SO2,11,20,17
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-02-2025 14:00:00",26.80365,84.51954,CO,66,105,86
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-02-2025 14:00:00",25.251013,86.989001,PM10,40,89,65
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-02-2025 14:00:00",25.251013,86.989001,NH3,2,4,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-02-2025 14:00:00",25.251013,86.989001,OZONE,17,34,20
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","21-02-2025 14:00:00",25.265194,87.012947,NO2,11,13,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","21-02-2025 14:00:00",25.265194,87.012947,SO2,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","21-02-2025 14:00:00",25.204762,85.514960,PM10,118,284,186
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","21-02-2025 14:00:00",13.204880,79.097889,NH3,3,5,4
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","21-02-2025 14:00:00",13.204880,79.097889,CO,7,12,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","21-02-2025 14:00:00",14.465052,78.824187,SO2,15,16,15
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","21-02-2025 14:00:00",16.9872867,81.7363176,PM2.5,43,76,57
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","21-02-2025 14:00:00",16.9872867,81.7363176,SO2,10,14,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","21-02-2025 14:00:00",16.9872867,81.7363176,CO,22,44,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","21-02-2025 14:00:00",16.9872867,81.7363176,OZONE,2,7,5
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","21-02-2025 14:00:00",13.67,79.35,CO,20,42,23
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","21-02-2025 14:00:00",13.67,79.35,OZONE,10,40,23
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","21-02-2025 14:00:00",26.987634,94.636574,NH3,2,12,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","21-02-2025 14:00:00",26.146529,87.454184,NH3,4,4,4
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","21-02-2025 14:00:00",26.146529,87.454184,CO,6,110,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","21-02-2025 14:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","21-02-2025 14:00:00",25.5626095,84.663264,SO2,8,10,9
